SIZE,RES.,Academic_Reputation_Score,Employer_Reputation_Score,Faculty_Student_Score,Citations_per_Faculty_Score,International_Faculty_Score,International_Students_Score,International_Research_Network_Score,Employment_Outcomes_Score,Sustainability_Score
S,VH,4.1,4.4,2.0,10.7,,2.1,2.6,2.1,1.0
L,VH,23.5,9.7,74.8,8.4,,14.2,84.3,10.5,21.3
S,HI,3.4,2.4,88.8,11.7,8.7,21.6,12.3,15.2,1.0
L,MD,7.7,12.1,7.3,2.3,34.6,24.8,31.8,21.8,1.1
XL,VH,39.2,40.5,14.0,91.9,39.2,4.9,78.2,46.5,22.2
M,VH,75.1,94.1,84.1,43.1,23.4,30.5,61.2,23.7,62.2
L,HI,10.9,4.0,8.5,2.9,6.3,1.8,39.7,2.2,4.0
L,VH,4.4,2.6,53.2,13.5,12.7,11.0,28.7,9.0,1.7
M,VH,16.6,23.6,94.6,12.0,31.1,45.5,41.7,17.6,1.0
XL,VH,99.6,98.8,100.0,31.7,41.5,97.0,98.5,99.9,71.8
M,VH,10.1,4.9,17.5,17.6,25.3,32.7,27.9,36.9,29.3
L,VH,11.1,2.3,4.4,32.2,2.4,1.9,81.6,4.5,5.7
L,HI,16.4,12.7,14.5,2.7,98.0,3.9,59.3,8.7,1.5
XL,VH,67.1,82.6,20.3,52.8,21.3,66.4,75.5,43.1,39.5
L,MD,3.9,2.9,4.2,1.1,2.3,2.7,7.7,26.2,1.0
S,VH,5.8,1.5,12.8,42.6,72.3,37.4,49.3,3.4,2.0
XL,VH,4.2,2.1,6.0,59.7,3.7,1.6,31.6,3.0,2.9
S,VH,4.6,3.3,35.5,46.8,100.0,100.0,15.4,4.1,1.1
L,HI,4.9,3.2,85.3,3.8,4.6,3.1,18.4,5.7,1.8
L,VH,10.6,5.8,16.9,30.4,21.5,7.1,73.1,7.2,33.0
M,HI,6.2,4.4,8.5,3.0,1.7,2.2,4.2,6.8,1.0
M,VH,81.1,50.3,56.7,99.7,100.0,95.4,46.7,65.4,77.6
L,VH,16.0,9.1,33.3,4.8,7.7,8.3,86.7,7.5,31.6
XL,VH,45.6,49.1,32.2,8.0,25.0,50.5,96.3,65.5,77.4
L,VH,5.7,2.5,8.9,89.3,,,38.7,3.7,2.3
L,HI,9.9,20.0,75.4,1.2,17.4,2.5,20.1,68.7,2.0
XL,VH,39.8,33.1,8.1,59.9,97.9,20.7,83.4,19.0,89.4
L,HI,7.3,2.9,84.4,5.2,,13.2,68.8,4.4,3.4
L,HI,3.6,3.6,3.1,6.2,73.1,100.0,33.3,7.6,1.1
XL,VH,70.5,75.9,36.4,39.8,82.5,88.5,98.8,50.9,71.8
M,VH,3.7,2.5,80.2,1.4,2.6,1.3,3.8,4.8,1.0
S,VH,22.7,21.0,80.0,60.7,100.0,78.9,78.8,9.3,61.6
L,VH,75.8,82.5,36.7,75.9,87.5,89.8,94.6,51.2,98.9
M,VH,3.9,2.3,55.4,1.3,1.8,3.3,10.3,6.3,1.0
L,HI,30.6,68.0,49.6,14.7,24.8,73.8,63.6,75.8,42.3
XL,VH,17.6,8.4,4.6,5.3,2.8,4.0,95.2,96.4,3.7
XL,LO,10.2,3.9,4.7,1.0,,,9.4,56.0,1.0
L,VH,5.0,4.1,12.2,16.9,7.0,2.5,41.7,7.1,5.5
L,VH,7.0,8.1,61.8,17.1,9.5,17.7,46.8,9.0,28.4
L,VH,18.1,17.3,6.0,22.0,100.0,100.0,84.8,11.2,11.8
L,VH,8.8,5.2,1.8,2.3,18.7,30.2,8.5,4.4,1.0
XL,VH,11.4,2.6,3.3,2.5,8.6,1.4,56.9,29.1,1.6
S,VH,45.9,80.0,99.9,96.9,27.6,2.7,26.6,11.0,36.6
M,HI,8.4,21.0,21.4,1.4,7.0,1.9,12.4,8.8,1.0
XL,VH,11.0,16.9,24.6,1.5,2.4,1.1,63.5,72.7,3.1
M,VH,38.0,46.5,86.0,78.0,100.0,47.6,73.9,97.8,20.1
M,VH,10.0,4.7,4.5,75.0,93.8,20.0,73.4,42.1,5.8
M,MD,9.6,7.5,12.9,1.3,14.9,6.2,1.0,60.3,1.4
XL,VH,99.2,97.7,95.0,99.1,18.1,13.4,79.2,92.3,40.4
M,VH,8.4,8.8,74.7,1.7,3.8,2.3,10.0,22.0,1.6
XL,HI,11.3,22.6,3.0,1.1,13.6,1.5,8.0,3.9,1.1
L,VH,19.5,37.3,16.3,7.9,6.6,4.9,24.3,81.2,9.7
M,VH,87.7,91.0,60.2,96.2,21.1,10.9,46.8,63.3,60.3
L,VH,25.2,19.0,93.8,78.4,52.2,33.9,85.6,22.8,37.0
XL,HI,20.7,12.8,54.7,2.2,100.0,16.0,59.7,6.7,3.1
L,VH,3.1,2.5,12.1,8.0,2.2,8.3,39.4,7.6,2.1
M,VH,10.6,12.5,90.4,18.9,16.0,13.7,22.9,8.1,8.3
M,VH,19.4,29.0,6.8,93.8,1.3,2.0,44.3,6.4,37.9
L,HI,4.3,2.0,28.6,3.1,,,54.0,11.2,1.0
M,VH,5.0,2.7,96.7,1.7,3.0,16.6,19.1,1.8,1.0
M,HI,8.5,4.6,48.4,1.6,6.1,4.4,4.8,2.0,1.1
L,HI,9.2,9.7,4.7,2.8,1.6,6.7,27.5,23.5,2.7
XL,VH,68.2,35.9,31.7,7.5,18.7,3.0,79.6,93.6,73.2
L,VH,43.0,78.0,77.1,28.5,17.4,57.6,63.0,43.3,85.8
L,VH,36.3,12.0,99.7,47.7,85.4,72.4,83.6,31.9,86.7
L,VH,23.3,13.7,76.1,18.2,93.6,58.2,93.1,51.8,72.1
L,VH,4.5,5.2,8.9,3.5,15.5,2.1,14.9,42.6,1.4
L,VH,13.2,6.3,13.3,8.5,9.5,3.2,36.9,2.6,41.0
XL,HI,18.6,15.3,6.0,4.4,1.0,3.3,56.0,18.2,20.1
S,VH,13.0,39.2,44.0,10.3,35.9,33.2,51.1,3.9,27.3
L,VH,7.9,6.1,8.5,14.9,54.8,51.1,72.5,6.1,6.5
L,HI,26.2,22.4,14.8,6.7,10.6,1.7,61.1,12.5,45.9
L,VH,11.1,16.7,66.9,20.5,11.1,25.7,52.0,10.6,60.6
M,VH,7.1,2.8,55.2,12.6,7.2,3.5,35.1,2.9,8.0
L,HI,5.1,2.4,10.9,7.8,2.4,1.9,20.2,3.8,1.3
L,HI,4.9,4.9,10.0,5.8,21.4,10.6,33.3,16.5,1.6
M,HI,9.8,25.4,100.0,1.3,11.3,41.3,5.7,60.0,1.0
M,HI,4.5,2.3,6.7,5.9,13.5,3.8,46.2,2.0,8.5
XL,VH,12.7,16.1,7.3,18.9,8.9,2.9,76.9,6.1,29.6
S,VH,5.7,3.7,51.3,11.3,96.0,87.8,35.6,9.2,1.6
L,VH,35.2,30.4,15.7,29.3,35.9,30.1,90.8,56.8,91.9
S,VH,13.8,9.0,38.6,100.0,18.6,8.8,27.0,2.2,9.9
M,VH,4.8,3.7,27.1,28.6,11.4,11.1,52.1,3.1,1.9
L,VH,7.9,2.1,16.9,9.7,2.1,5.2,71.6,4.9,8.8
L,HI,5.0,5.5,12.5,2.4,,5.7,49.0,4.0,1.0
XL,VH,20.4,12.3,10.3,98.5,7.1,4.9,71.3,12.9,11.0
L,VH,94.3,87.6,62.3,57.9,83.7,89.6,94.2,98.3,99.1
XL,VH,40.4,48.0,5.2,77.7,100.0,91.4,83.2,38.4,93.9
XL,VH,83.0,98.6,76.8,75.9,80.4,98.6,95.6,34.5,93.1
XL,VH,58.9,27.3,8.5,45.7,9.2,11.1,94.9,18.8,87.7
L,VH,35.8,67.9,18.3,52.0,94.3,80.0,84.2,35.2,90.4
S,VH,8.6,15.1,21.4,5.6,65.3,16.3,17.8,8.5,1.5
S,HI,16.7,8.4,31.7,3.8,100.0,42.7,9.3,12.7,2.5
L,HI,6.1,3.9,10.6,1.3,2.7,1.1,11.0,4.5,1.1
L,HI,11.5,21.3,81.2,1.6,32.0,47.9,12.6,1.7,8.1
M,VH,22.0,25.4,38.8,8.2,19.4,79.3,34.1,12.3,5.3
XL,VH,15.6,52.2,4.5,11.6,3.2,1.3,62.2,81.4,4.3
XL,HI,14.1,51.3,24.0,1.4,37.6,15.3,37.4,1.9,1.6
XL,HI,9.0,9.0,7.5,11.9,46.9,75.3,76.1,2.1,14.3
M,MD,4.5,15.0,22.3,1.1,2.2,1.6,1.0,4.8,1.0
L,VH,17.7,17.9,40.3,24.9,96.5,51.4,98.0,63.1,65.6
L,VH,19.9,20.8,25.5,53.2,77.3,14.9,92.1,23.3,75.6
M,HI,9.2,4.5,6.3,5.4,4.9,10.2,9.7,2.0,1.3
M,MD,10.1,5.8,4.1,2.1,,,13.4,5.6,1.0
S,HI,14.6,9.3,11.2,4.8,100.0,27.7,9.3,11.0,1.1
L,HI,12.8,5.5,96.7,1.7,10.8,63.1,41.7,5.1,1.1
L,VH,14.4,12.6,86.7,9.2,60.3,7.2,84.6,28.2,32.4
L,VH,12.1,7.8,41.5,72.1,7.0,4.5,51.2,12.8,4.3
L,MD,21.0,40.6,27.1,1.1,2.6,1.4,21.5,51.4,1.0
XL,VH,26.7,33.2,2.1,31.0,9.9,15.9,86.6,85.8,29.3
L,VH,100.0,100.0,96.3,100.0,74.1,69.0,99.6,100.0,84.4
XL,VH,44.7,14.3,7.9,41.7,20.2,35.1,94.9,20.7,21.5
L,MD,4.4,2.4,6.0,2.1,3.8,1.5,7.3,2.0,1.0
S,HI,6.5,9.6,66.1,41.0,,1.0,14.7,3.5,1.0
M,HI,16.0,8.6,40.1,2.4,53.1,1.9,24.9,13.2,21.5
L,VH,7.3,7.0,12.6,15.2,11.6,5.2,78.5,7.7,12.3
XL,VH,18.1,3.7,7.9,48.3,7.4,12.0,93.7,12.4,11.0
M,VH,7.6,2.5,79.4,1.8,21.8,40.2,35.2,1.9,1.2
L,HI,15.6,24.5,41.3,1.1,13.1,5.2,7.5,7.8,1.0
XL,VH,15.5,4.1,5.7,18.3,29.3,38.3,78.4,8.9,18.4
L,HI,4.5,5.9,3.8,7.5,39.1,27.4,24.8,8.5,1.5
L,HI,11.0,52.0,8.7,8.1,93.6,43.1,32.6,71.7,20.1
L,HI,4.4,12.8,29.0,1.4,4.4,1.1,16.4,4.2,1.0
L,VH,15.6,11.1,61.3,10.6,7.8,6.8,35.3,2.8,48.5
L,HI,5.2,2.4,18.7,3.0,92.4,2.2,38.0,2.2,1.0
L,VH,7.6,3.4,62.1,10.6,13.3,5.4,73.6,19.4,3.1
L,VH,31.2,70.2,9.0,22.3,12.0,18.3,74.7,77.5,69.5
XL,VH,3.8,1.3,6.8,4.2,3.5,1.2,32.7,1.3,1.3
L,HI,67.7,88.4,14.2,5.9,22.8,1.9,55.2,98.2,80.0
L,HI,7.2,8.6,11.7,2.3,7.3,2.0,14.7,4.9,5.1
M,VH,27.8,43.4,88.1,1.2,66.7,16.9,15.0,23.6,3.8
XL,MD,12.8,39.9,12.5,1.3,34.9,5.8,18.1,14.1,2.4
L,VH,50.7,35.7,16.5,54.7,40.2,20.4,93.4,42.8,90.6
M,VH,30.1,38.3,49.8,16.6,100.0,34.2,86.2,82.0,36.6
XL,VH,15.7,6.3,50.0,30.5,15.5,10.3,80.5,17.4,24.5
L,HI,54.2,79.6,99.3,1.4,49.0,54.2,64.7,59.6,29.8
XL,HI,5.0,8.4,51.2,1.3,35.7,3.6,14.0,4.2,1.1
S,VH,13.7,15.9,14.4,2.6,1.7,1.0,11.5,11.2,1.0
L,VH,72.2,86.4,35.5,37.7,98.1,99.1,94.2,65.7,89.7
L,HI,12.6,16.9,64.6,1.4,3.3,55.7,29.4,4.0,4.9
M,VH,84.2,67.2,91.2,93.6,100.0,100.0,81.7,27.2,86.7
S,VH,9.0,6.7,29.4,20.9,97.1,97.8,44.0,3.1,49.8
L,VH,51.4,43.5,16.6,46.4,99.1,74.8,87.2,89.8,95.6
L,HI,3.5,1.3,15.6,1.9,2.2,49.8,21.4,2.0,1.0
L,VH,15.2,13.9,29.9,8.5,32.7,17.8,87.3,6.8,33.0
M,VH,5.0,2.3,60.0,33.6,2.0,2.4,28.8,3.8,5.6
S,VH,4.2,4.0,22.0,8.5,3.3,8.3,44.7,4.0,1.0
L,VH,9.3,4.7,45.4,12.4,9.0,7.3,28.5,4.7,44.3
L,VH,17.7,5.9,7.4,65.3,53.4,7.0,64.5,6.1,83.6
L,VH,10.0,6.8,8.0,12.3,46.7,22.4,87.7,5.4,13.6
L,MD,4.4,2.4,3.0,1.7,4.6,1.8,9.4,2.0,1.0
L,VH,9.1,2.7,4.1,41.6,4.5,4.2,71.0,3.1,22.5
L,HI,4.7,4.1,4.1,11.7,91.5,100.0,78.2,14.9,5.4
L,VH,52.8,24.1,62.7,17.2,44.3,38.9,94.7,35.4,83.2
XL,HI,9.5,5.1,17.4,2.5,3.5,1.2,35.7,18.2,1.3
M,VH,11.5,26.8,22.0,3.0,15.7,72.0,29.9,35.0,6.8
L,VH,43.1,24.5,24.6,52.2,67.6,33.7,92.3,32.5,90.0
L,VH,14.1,16.0,28.1,6.2,22.4,17.1,61.1,6.8,3.7
L,MD,18.5,28.7,89.5,1.0,12.9,16.2,4.0,3.2,2.6
L,VH,5.6,4.7,12.8,18.5,5.8,4.2,66.7,14.3,6.7
L,VH,69.8,80.1,40.9,98.9,33.7,99.1,79.9,61.5,24.5
L,VH,7.2,5.9,10.1,28.6,23.9,78.4,74.1,12.1,16.9
M,VH,9.4,4.8,53.1,11.6,18.0,75.1,32.3,16.5,1.1
L,MD,7.8,17.8,27.2,1.1,4.1,3.9,4.9,6.1,1.1
L,VH,22.0,42.4,80.6,3.6,19.9,50.2,59.4,15.6,5.8
L,VH,73.8,82.8,97.8,23.9,14.1,11.4,68.3,22.6,78.6
L,VH,99.1,96.4,94.2,60.8,79.0,87.0,85.1,99.1,46.9
L,MD,3.3,2.3,8.0,1.3,3.7,1.9,11.9,2.2,1.1
M,MD,13.0,7.7,64.2,1.2,14.4,2.5,2.4,3.5,1.3
L,VH,5.5,2.6,21.1,7.2,87.1,7.2,60.8,1.9,1.7
L,MD,7.9,2.0,5.3,1.7,21.7,1.1,11.8,4.5,1.0
XL,VH,7.3,7.3,2.4,4.7,4.2,1.2,23.1,23.1,3.4
XL,VH,19.6,14.2,95.5,2.1,5.4,25.3,86.6,1.9,12.7
L,HI,6.4,1.5,17.5,5.2,2.5,1.4,37.9,6.3,11.5
L,VH,3.5,3.5,12.8,1.4,1.6,14.9,11.4,1.9,1.0
L,VH,30.1,35.1,22.1,28.5,89.0,52.1,69.1,34.0,91.0
M,VH,6.8,4.5,18.9,3.8,46.3,31.6,32.6,8.0,1.2
M,VH,10.8,5.3,15.8,35.0,22.1,8.6,54.7,4.0,17.7
M,VH,32.4,16.2,10.8,7.5,12.6,1.6,44.5,68.0,5.4
XL,VH,66.5,38.8,31.0,79.5,55.7,19.4,97.3,54.7,61.9
L,HI,13.9,8.0,3.1,7.3,15.6,1.6,45.4,3.5,5.6
M,VH,5.6,4.7,55.2,5.7,5.5,3.9,11.7,1.8,6.4
L,HI,7.1,4.5,22.2,10.0,28.8,6.6,33.6,3.7,6.7
S,HI,20.3,23.0,23.1,27.8,100.0,18.8,23.3,2.8,1.2
L,VH,3.2,2.6,10.2,49.3,4.7,1.7,18.7,13.5,1.4
XL,VH,5.8,2.3,2.9,4.4,3.2,7.4,39.4,7.8,1.1
XL,VH,98.5,93.9,15.4,93.0,95.1,99.8,97.4,96.5,99.6
XL,VH,33.2,25.2,22.3,30.4,75.1,9.3,94.4,89.4,85.8
L,VH,50.0,23.7,94.7,97.7,11.6,5.1,75.7,31.9,11.9
L,VH,7.9,1.7,5.4,5.2,,26.4,75.3,6.7,2.1
L,HI,5.0,5.0,4.0,11.8,77.5,86.0,60.1,4.9,2.2
M,VH,26.6,13.5,61.4,94.5,100.0,85.8,89.4,69.9,44.6
M,VH,34.7,20.5,62.9,5.4,14.5,25.2,23.3,17.3,49.8
M,VH,6.3,4.3,71.6,41.9,5.1,4.5,27.7,2.0,13.2
L,VH,34.0,51.1,9.0,90.2,1.1,1.1,69.3,33.0,44.3
S,VH,20.2,8.8,92.9,9.9,100.0,46.5,35.4,56.5,12.7
XL,HI,5.5,9.3,18.4,1.4,1.3,1.1,33.7,10.0,1.0
L,VH,11.9,25.3,3.9,49.0,37.7,1.4,83.5,4.4,29.0
M,VH,7.1,2.7,11.3,16.7,4.2,3.7,53.5,1.9,4.3
L,HI,4.2,1.9,6.2,5.6,94.8,2.8,37.8,1.5,1.5
M,HI,5.8,5.3,35.1,2.5,3.1,40.5,28.9,3.8,7.5
M,VH,18.6,17.1,55.6,21.9,100.0,3.2,78.8,51.5,55.4
L,VH,20.0,35.9,6.7,70.0,60.3,81.4,65.9,44.4,71.8
XL,VH,7.9,8.3,7.2,4.5,16.5,12.4,62.9,7.0,24.0
S,VH,2.7,2.0,98.8,12.9,4.8,3.0,42.6,4.2,2.5
L,VH,46.0,30.7,87.1,20.5,76.1,26.2,93.8,30.9,33.0
M,VH,5.1,6.3,100.0,8.6,3.2,10.9,42.8,15.4,1.7
XL,MD,19.3,8.2,4.6,1.5,3.0,1.3,16.0,1.8,4.9
XL,VH,82.8,90.0,8.0,11.2,8.5,4.5,77.1,96.1,64.1
L,VH,6.9,5.4,4.6,60.7,1.2,2.2,54.3,14.1,7.9
XL,VH,19.1,28.8,9.1,2.0,2.2,1.1,46.0,6.8,35.7
L,VH,6.2,3.6,7.4,17.4,8.9,3.1,50.6,7.1,4.5
L,VH,38.9,36.7,27.7,69.6,93.3,92.3,89.7,28.8,96.2
XL,VH,39.1,12.6,18.4,8.2,3.5,18.9,91.4,16.0,67.4
S,VH,4.8,3.0,21.6,10.6,100.0,89.0,19.1,4.4,1.1
L,VH,16.3,9.4,6.6,50.9,47.9,10.4,77.3,3.7,21.3
XL,VH,12.6,10.2,5.5,24.5,24.5,1.6,93.7,71.2,37.9
L,HI,7.3,5.3,29.9,1.1,17.4,2.6,6.6,31.4,
S,VH,15.4,6.3,88.5,9.9,100.0,5.8,15.9,14.7,1.4
M,HI,3.5,8.7,12.3,2.1,2.4,1.1,12.5,48.3,1.0
M,VH,4.2,4.2,12.3,10.5,3.4,3.1,9.8,7.7,1.0
L,HI,10.5,5.8,13.6,2.8,5.6,2.9,24.5,1.8,1.3
L,HI,17.0,10.6,72.8,1.5,1.8,3.7,17.8,76.5,1.0
L,MD,13.1,20.4,50.0,1.1,5.3,3.0,5.8,61.8,1.0
XL,VH,99.5,91.1,68.8,93.1,100.0,88.9,91.6,100.0,97.7
L,VH,10.2,5.0,92.2,7.0,4.6,35.9,71.4,29.0,1.2
L,VH,76.9,59.4,99.4,32.7,54.2,53.6,94.5,25.2,77.6
XL,VH,84.6,49.6,7.1,91.0,93.8,47.7,99.5,75.3,51.2
XL,VH,55.5,32.8,76.0,19.3,87.6,54.1,84.9,54.2,91.4
L,VH,21.3,5.1,56.1,7.0,4.5,9.0,89.5,10.7,77.1
L,VH,18.3,20.4,60.9,17.1,18.5,3.7,78.4,22.2,70.9
M,VH,16.2,29.3,32.9,4.3,8.0,19.4,30.6,40.5,4.8
L,HI,7.9,10.5,83.6,9.7,9.0,23.8,36.5,4.8,20.8
XL,VH,61.4,36.5,72.9,47.2,23.5,11.1,91.6,55.2,44.6
M,HI,5.4,6.4,32.2,2.1,1.5,13.2,6.3,10.1,2.4
M,MD,9.0,11.0,4.1,1.3,6.2,2.0,5.7,3.3,
M,VH,4.5,2.3,44.5,3.1,9.7,8.8,18.7,1.7,1.0
L,MD,10.2,10.5,12.1,1.5,9.7,2.3,17.2,4.7,1.0
L,VH,10.9,14.3,55.5,5.5,,24.2,66.4,12.6,7.3
M,VH,8.6,5.8,12.1,43.0,40.7,52.3,75.0,8.1,82.9
L,HI,4.4,3.7,5.9,5.2,62.0,100.0,58.8,10.1,2.1
L,VH,25.8,27.7,3.2,94.9,27.2,48.8,87.1,19.6,74.5
M,VH,8.6,6.1,12.0,47.5,25.2,25.9,76.9,5.0,19.2
L,VH,45.7,40.6,33.2,73.6,95.2,40.1,78.2,95.1,94.7
L,VH,17.2,13.5,38.8,99.5,24.8,25.4,65.2,32.4,16.9
M,VH,29.7,16.1,45.9,99.3,100.0,38.0,93.8,30.7,52.1
XL,HI,11.0,4.2,3.4,4.5,9.6,7.5,64.8,98.3,3.5
M,VH,3.4,2.4,96.2,10.3,5.4,2.4,10.5,3.1,1.0
XL,VH,70.9,40.4,23.2,13.0,100.0,92.0,96.0,89.7,60.9
M,VH,8.0,3.0,3.2,4.0,8.7,1.4,30.3,2.0,1.0
L,VH,13.1,6.4,80.1,7.4,,8.8,90.0,4.8,6.2
M,VH,24.0,52.1,13.3,15.2,61.4,3.7,38.3,19.3,10.6
M,VH,44.7,99.6,95.9,86.1,99.1,98.0,89.6,97.7,54.8
L,VH,17.0,7.7,3.9,62.5,94.7,40.9,54.2,11.3,82.9
L,VH,3.4,1.7,8.6,79.7,1.7,2.8,24.1,21.1,1.5
S,MD,12.5,12.8,64.4,1.2,9.5,2.8,6.4,15.1,1.0
XL,VH,50.0,53.6,46.4,5.5,10.5,8.4,84.1,60.0,69.8
L,HI,6.7,1.7,3.3,1.7,2.8,1.8,11.9,2.9,1.0
M,VH,5.2,2.3,56.0,5.7,21.5,11.4,55.3,1.6,5.7
L,VH,11.6,3.0,5.4,23.4,3.5,4.5,71.3,5.7,3.6
XL,VH,8.8,4.8,12.4,9.2,10.0,15.3,60.9,11.9,22.5
M,VH,18.8,32.0,6.4,97.6,2.3,1.2,51.2,4.9,2.2
L,HI,4.5,2.2,3.2,2.1,,,21.8,13.4,1.0
L,VH,10.9,10.8,11.8,15.8,70.7,56.2,78.4,14.0,75.3
S,VH,9.3,12.5,62.2,1.6,92.0,100.0,6.8,4.0,1.6
L,VH,25.8,25.2,60.8,29.2,22.3,18.4,70.1,60.2,68.9
L,VH,23.3,22.6,10.7,6.1,5.2,11.0,71.3,60.9,61.9
XL,VH,53.0,91.6,57.2,5.1,9.4,10.2,57.5,91.4,59.0
L,VH,26.1,35.8,3.5,61.9,19.7,8.0,94.8,85.2,22.0
L,VH,9.4,7.9,6.6,53.9,30.0,12.6,66.5,16.9,65.3
XL,VH,15.2,19.5,7.1,4.2,2.6,2.0,69.1,53.4,25.7
M,HI,15.8,28.5,24.2,2.5,7.2,2.7,31.8,41.1,24.5
L,HI,6.8,8.3,14.8,5.4,6.3,13.9,23.9,29.1,1.4
M,MD,18.5,24.3,32.3,1.3,5.4,2.2,5.2,63.6,1.1
L,VH,59.0,63.3,76.2,26.0,18.7,12.1,77.7,15.5,78.1
XL,VH,10.6,7.2,1.1,7.3,,7.3,91.0,92.8,3.1
XL,HI,11.5,7.6,1.9,5.3,4.5,1.7,72.8,95.4,7.6
L,VH,24.4,48.7,92.0,2.1,8.0,92.2,89.7,10.0,24.0
XL,HI,9.5,2.7,2.9,25.4,3.8,9.1,69.4,9.2,2.3
M,VH,54.1,80.9,17.3,77.4,3.1,1.5,63.3,35.1,32.7
XL,VH,31.8,16.9,29.1,96.9,54.5,26.5,72.9,24.0,81.4
L,VH,5.8,3.5,6.3,11.9,4.8,3.0,51.6,15.4,3.8
L,VH,97.4,59.4,81.2,86.4,100.0,99.3,81.4,99.7,89.2
XL,VH,8.1,11.4,4.4,2.4,2.9,4.2,45.3,23.9,2.7
L,MD,5.6,2.9,6.5,1.5,15.9,9.9,5.2,2.9,1.0
L,VH,26.5,16.3,36.1,19.7,5.5,25.0,84.9,11.7,76.1
L,HI,8.1,5.5,5.7,10.5,2.4,3.3,41.4,16.9,2.7
XL,HI,17.2,10.7,7.4,4.4,5.3,2.3,50.9,4.4,31.8
L,VH,52.6,21.3,7.7,97.8,75.4,17.2,71.2,7.9,28.4
L,HI,3.8,2.0,20.1,1.2,1.4,41.1,12.7,5.5,1.0
L,VH,13.9,11.4,12.4,86.5,94.9,77.3,66.1,13.9,15.4
L,HI,9.7,5.8,60.0,5.6,10.6,44.9,77.1,7.7,59.0
M,VH,9.3,3.1,33.6,26.0,3.2,5.2,43.0,1.9,1.6
M,VH,6.9,9.2,16.6,3.4,5.0,1.6,14.9,5.0,1.3
L,VH,61.4,33.7,52.0,42.3,99.4,81.1,96.7,68.4,99.2
L,VH,7.7,4.9,38.2,33.1,4.7,1.8,31.9,4.2,1.6
M,HI,3.7,11.5,5.6,5.3,62.6,74.1,35.8,5.6,5.8
XL,VH,63.3,81.1,11.4,54.3,79.6,45.2,92.9,63.1,90.1
L,VH,31.3,15.4,9.0,47.2,9.6,30.8,69.1,6.3,57.7
M,VH,46.5,63.2,64.7,49.2,98.4,100.0,83.8,18.5,91.1
L,VH,10.8,16.1,11.9,76.9,23.8,31.2,64.1,1.8,45.9
L,VH,5.2,12.7,3.4,6.9,1.4,2.6,61.8,3.9,1.0
L,HI,14.3,11.9,41.4,2.8,9.3,64.3,40.3,4.0,11.3
M,VH,5.4,3.6,46.4,1.8,4.2,46.3,14.6,5.6,1.1
L,VH,61.7,66.4,80.4,14.1,45.7,78.8,83.7,22.5,64.4
L,VH,43.9,55.0,9.8,97.7,96.6,86.0,91.4,40.2,96.3
L,VH,20.4,71.6,68.8,14.5,4.3,4.0,73.6,2.8,44.9
L,HI,10.5,11.4,89.5,2.6,98.2,19.7,68.3,2.4,18.4
L,VH,44.1,21.8,81.1,4.7,4.9,4.2,57.2,9.8,57.7
L,VH,5.4,95.6,19.7,1.8,16.1,3.6,16.7,5.2,2.0
L,MD,14.6,8.5,25.4,1.2,1.3,1.6,15.5,18.8,1.3
L,VH,69.5,47.4,20.2,58.4,99.3,88.0,91.3,88.6,57.7
L,VH,5.7,2.4,1.9,6.5,4.3,6.7,27.8,4.3,1.2
XL,VH,15.5,19.5,5.3,4.4,7.8,3.8,80.1,26.7,42.7
L,VH,6.1,9.1,11.9,7.5,2.4,3.8,41.8,11.6,4.0
L,VH,9.7,24.7,4.2,12.2,9.1,18.5,38.9,19.9,35.1
M,MD,16.7,27.9,44.6,1.2,7.1,16.3,3.2,7.7,1.5
XL,VH,11.8,12.6,8.1,10.1,42.9,37.7,91.7,12.3,79.6
M,VH,12.8,12.3,75.9,14.3,83.5,33.5,59.7,12.2,13.2
M,VH,11.2,18.5,31.1,7.9,3.5,28.6,64.2,23.2,16.1
L,HI,12.8,8.5,56.0,3.5,3.8,22.9,60.2,79.8,5.1
L,HI,4.1,5.1,5.0,2.4,21.9,3.4,13.0,7.7,1.0
M,MD,1.6,4.0,35.4,1.4,10.0,4.1,5.6,38.5,1.0
XL,HI,6.8,7.8,3.5,2.1,2.5,10.7,34.7,6.0,18.8
M,HI,13.5,20.3,29.1,3.7,73.3,19.6,36.5,19.9,19.5
XL,HI,4.9,4.6,1.9,1.5,1.9,1.1,8.3,9.4,1.0
XL,VH,20.4,28.2,7.9,99.9,5.2,2.7,79.4,17.6,15.0
XL,VH,73.7,30.3,12.4,38.1,23.1,26.3,96.8,71.5,92.2
L,HI,11.6,27.9,10.0,2.0,2.0,1.4,21.4,3.8,1.1
XL,VH,18.6,3.4,8.5,57.2,22.8,29.9,99.5,13.1,17.3
XL,VH,36.9,6.5,7.9,21.7,17.5,18.2,99.1,15.2,25.5
L,VH,15.8,3.4,18.6,36.5,51.8,21.2,92.9,1.3,67.1
L,VH,13.0,29.3,25.7,7.3,14.8,67.3,78.8,12.7,3.3
L,HI,6.6,2.8,3.2,1.4,57.9,1.9,7.9,2.3,1.2
XL,HI,29.1,20.8,4.1,4.3,3.7,1.2,48.1,20.4,2.9
L,VH,46.8,43.2,36.1,30.0,82.8,67.7,92.3,18.9,96.0
XL,VH,31.8,28.8,46.4,49.5,2.2,3.6,77.4,21.4,15.9
XL,VH,4.1,1.5,7.9,16.5,,,70.7,2.2,2.4
