SIZE,RES.,Academic_Reputation_Score,Employer_Reputation_Score,Faculty_Student_Score,Citations_per_Faculty_Score,International_Faculty_Score,International_Students_Score,International_Research_Network_Score,Employment_Outcomes_Score,Sustainability_Score
XL,HI,14.5,8.5,2.3,1.8,2.9,1.1,35.9,13.4,10.6
L,MD,4.9,2.4,3.5,1.5,,,6.5,2.1,1.0
L,HI,14.1,20.1,3.1,2.6,7.3,8.8,45.3,33.8,7.5
L,VH,4.5,1.8,19.0,67.1,2.5,1.7,37.2,2.4,1.3
L,VH,11.1,13.5,3.8,15.6,13.2,43.7,67.3,34.3,26.3
L,VH,16.6,8.3,49.8,2.7,100.0,18.0,78.3,2.2,2.3
L,VH,12.2,14.3,77.2,10.9,9.7,13.7,23.9,13.1,41.4
L,HI,3.7,2.3,9.7,3.0,7.0,30.3,5.3,14.0,1.1
L,HI,2.6,2.4,8.9,10.1,5.9,3.4,50.7,1.5,1.6
S,LO,5.2,4.2,10.6,11.0,100.0,72.0,8.2,10.2,1.0
L,VH,12.3,7.1,29.2,16.9,3.0,5.7,77.2,23.2,61.9
L,HI,5.1,2.2,4.7,3.7,34.5,87.6,17.7,1.3,1.0
XL,VH,81.9,55.5,28.6,78.8,11.0,32.8,95.6,68.7,66.5
L,VH,11.7,2.9,24.5,6.8,1.7,3.9,79.8,3.7,44.9
S,VH,3.3,1.8,94.4,88.5,4.4,4.3,39.2,2.1,1.2
L,HI,19.1,23.5,74.7,3.3,12.4,13.6,75.5,83.7,27.1
S,VH,10.5,11.8,84.1,99.9,6.6,3.3,12.3,2.7,3.1
M,VH,9.1,28.8,2.8,30.9,2.0,2.0,18.3,81.4,1.7
XL,VH,6.9,3.4,11.8,69.7,2.5,1.7,39.6,10.5,2.5
M,VH,5.0,3.4,46.2,8.9,3.3,4.0,50.7,3.2,4.0
L,HI,20.1,26.0,25.8,10.7,75.0,22.6,75.4,35.3,82.5
XL,VH,4.6,5.1,4.5,9.8,1.9,29.6,61.6,8.1,40.4
M,VH,9.9,6.5,13.9,11.0,100.0,98.9,15.6,3.7,3.8
XL,VH,5.2,2.7,8.9,52.7,34.0,83.1,52.8,6.5,3.1
XL,VH,14.1,12.0,3.3,2.6,6.7,5.7,74.7,4.4,40.4
L,VH,4.4,3.3,20.0,26.7,,,44.4,1.4,1.2
S,VH,6.1,4.6,73.5,40.7,100.0,100.0,39.3,2.1,1.1
M,MD,5.8,14.6,12.7,1.7,61.5,66.8,30.6,23.5,3.0
L,VH,68.3,52.5,55.5,44.6,97.4,73.4,96.7,86.5,99.6
L,HI,6.7,2.6,2.6,34.6,2.9,3.6,70.0,4.1,27.3
M,HI,5.9,4.4,18.7,3.6,2.3,20.2,6.0,29.5,1.2
L,VH,12.5,18.5,9.0,34.4,94.2,53.8,79.2,19.6,46.9
L,VH,50.1,44.3,40.7,83.4,92.5,98.0,97.1,49.2,96.9
L,MD,3.8,1.4,73.8,1.2,,,9.8,1.2,1.0
L,HI,11.5,16.7,5.9,5.3,12.1,5.1,71.5,90.4,9.8
M,VH,3.5,5.2,17.4,26.2,42.0,23.5,25.6,8.3,1.9
S,MD,10.2,9.8,92.8,1.0,35.6,91.9,2.6,7.8,
XL,VH,37.8,46.4,65.1,5.5,5.7,15.4,88.6,51.3,35.4
M,VH,6.0,4.4,14.4,26.2,51.6,30.7,62.9,6.9,3.1
M,VH,6.3,5.7,10.6,5.8,3.9,4.8,18.9,3.9,2.5
L,VH,25.9,30.0,16.7,31.8,93.0,64.0,85.0,33.6,88.6
L,VH,26.5,42.1,8.9,30.5,75.1,5.8,96.8,98.9,84.8
L,HI,4.0,9.6,8.2,2.1,23.7,5.6,13.7,5.8,1.2
XL,VH,86.7,74.0,21.2,90.2,100.0,100.0,96.7,56.7,96.7
M,VH,60.9,30.8,89.5,100.0,100.0,100.0,62.9,37.5,72.9
XL,VH,99.7,96.9,44.9,50.8,96.9,96.1,97.7,98.7,100.0
