RANK_2025
625
685
1300
975
239
665
1300
308
269
227
484
471
825
1300
745
255
715
219
117
975
328
1100
285
875
775
7
388
436
925
89
875
14
925
1300
1300
1100
975
49
1100
975
1401
715
1300
875
1401
1300
251
1100
1401
377
477
1100
975
1401
259
15
205
78
875
1300
539
69
745
1300
795
304
785
383
368
267
1300
1300
576
440
547
1100
1401
975
705
745
605
635
1300
1300
875
685
1100
76
925
389
439
326
715
645
1100
421
1100
715
580
975
1100
405
875
75
875
1300
423
80
1100
785
925
625
312
795
1300
281
267
1300
40
62
25
1300
1401
347
1100
755
1100
200
524
1300
745
925
27
975
534
559
745
1100
1100
825
1300
875
1300
396
1100
1300
1100
605
497
244
297
1300
211
314
675
1100
755
1100
80
1300
410
1300
1401
554
516
55
461
92
875
1100
925
1401
825
1100
925
336
1401
1100
875
1100
925
34
1300
293
675
371
1100
825
1300
975
875
605
785
243
1401
1300
133
1401
1300
1100
825
466
1401
1300
925
715
825
1300
1300
585
1401
1100
875
1300
725
516
1300
371
183
326
975
2
324
1300
217
1100
1401
765
1100
1100
715
1100
1300
214
695
19
280
224
155
1100
635
580
1100
1401
825
645
570
1300
1100
152
1300
1300
1401
1100
136
347
169
298
725
544
513
735
552
1100
925
825
524
655
715
785
925
1100
825
1300
1100
605
194
371
416
190
155
1401
1100
139
576
925
875
109
1300
206
464
224
158
1100
215
1300
925
825
1401
1100
159
1300
1300
97
825
1300
152
256
1300
144
1401
462
295
1300
283
1300
1300
516
385
355
1100
1
592
246
1100
375
1401
1100
215
1401
501
1401
527
875
1100
194
84
1300
975
456
34
825
875
765
114
1401
665
825
485
975
705
1401
47
765
246
565
695
213
825
925
82
1100
202
54
1300
249
735
1300
1100
725
434
1300
1100
98
1100
825
101
389
1100
20
925
1300
625
53
196
559
1300
615
335
1300
925
1100
1300
229
162
171
278
1300
975
925
539
825
635
516
975
1300
1300
567
1300
795
615
285
359
925
1100
1300
336
29
123
28
236
150
925
715
1401
655
554
570
695
745
1300
312
306
1300
1300
875
635
452
452
695
393
4
334
1401
695
825
975
562
825
925
735
1100
466
1300
685
1100
795
285
1401
179
1300
405
875
191
261
531
163
1100
1100
69
745
26
495
126
1300
655
825
1300
875
393
825
1401
775
695
227
1300
725
212
825
625
1100
58
665
725
1100
420
107
21
1401
975
975
1401
1300
516
1300
1401
273
1100
745
615
105
1100
1100
1100
513
925
1300
13
264
133
1100
825
131
452
635
222
385
1300
495
1100
1100
1100
362
241
1100
825
222
745
1100
139
695
825
1100
141
462
795
497
587
1100
562
1300
1300
1300
695
825
8
605
84
63
159
544
442
715
705
155
1300
1300
1300
1300
755
474
875
224
605
113
269
161
925
925
137
1300
675
477
46
349
635
925
258
1401
975
925
1100
344
1401
535
615
316
564
188
296
506
825
775
1100
825
173
875
875
316
975
150
192
1100
17
1100
1401
436
1100
975
178
1300
291
625
875
1300
103
825
925
89
393
104
396
1300
775
1100
138
88
353
513
368
645
1100
87
1300
785
1100
875
825
605
472
755
665
1401
1300
1300
705
1401
300
165
1100
448
481
474
615
1300
795
186
331
1100
825
1300
252
1401
10
1100
675
1100
1401
1100
975
1300
795
685
1100
147
403
508
1401
256
645
1100
875
200
382
336
501
1401
1300
825
387
309
423
1300
36
40
315
230
825
1300
625
1300
250
685
172
1300
1100
448
925
745
1100
11
1100
184
281
665
1401
665
574
785
1100
42
1401
1100
1300
489
506
72
745
1100
1300
1401
396
403
1300
235
22
635
574
645
1100
605
1100
328
535
1100
1100
119
547
527
1100
1300
1100
1401
875
755
43
665
1300
547
218
65
1100
695
516
187
115
1300
377
1100
1300
145
1100
785
1100
585
554
596
408
189
1100
1100
61
587
975
111
416
725
1401
1100
1300
1300
285
596
875
875
340
635
1100
1100
1100
1401
1100
320
580
825
1100
508
1300
1300
975
925
925
1100
975
1100
1300
1100
775
1300
154
539
1300
1300
1300
508
1300
328
1300
1300
1401
785
925
410
567
1300
401
511
252
875
1401
825
203
1300
1401
795
1100
18
925
595
175
685
925
405
359
875
645
1100
148
1300
167
109
362
1100
875
645
332
567
1401
645
